x,y
42322.4807516,-3346573.12795
-82418.6800307,6517209.41975
-71394.9719782,5645520.72921
-76646.1445046,6060751.94556
-55501.6002109,4388768.25008
32897.6969831,-2601317.77624
-90798.3161666,7179820.76756
-24553.225662,1941556.481
90459.0153407,-7152921.46405
53882.3740471,-4260660.1304
-94632.0464938,7482969.15945
1946.5909161,-153890.015099
-75291.1346976,5953605.90008
56110.0583557,-4436812.03942
-96312.819614,7615874.61316
-31888.4149392,2521579.2379
55319.5474571,-4374303.18062
-65429.8772009,5173836.82478
-51786.7220768,4095017.9765
88210.0319037,-6975085.34776
-30320.9997271,2397637.44742
56876.5107323,-4497418.49464
-22317.7909997,1764791.72051
-16932.8084345,1338979.60915
-72916.849262,5765861.65355
-20147.4853132,1593176.96865
77220.26941,-6106080.86833
1483.3914031,-117262.976809
88789.505682,-7020906.65729
31667.9218932,-2504074.54078
-42874.8019877,3390316.80738
-37671.7164531,2978888.02181
-92694.7001149,7329775.43189
-35829.0075867,2833177.66091
-83543.0655917,6606119.08359
-44163.0025318,3492179.9772
-2254.24949121,178287.239268
68883.2252081,-5446837.4351
-88068.3163435,6963948.76154
-80182.8698615,6340414.96643
-54161.1097892,4282770.31047
-50946.1501688,4028550.59344
70130.5228462,-5545466.24854
4731.06582783,-374069.58427
43886.1276913,-3470216.94606
41888.6806754,-3312270.82073
-81545.324286,6448149.6876
-82434.9858082,6518498.7828
60020.4350741,-4746021.16805
81731.8615201,-6462830.50284
-67318.0305462,5323140.66241
-14859.838328,1175061.57095
-32360.008987,2558870.06564
39487.7375269,-3122418.6422
-67380.4725343,5328078.20017
17830.1354796,-1409865.41791
53029.9535032,-4193255.82832
5288.09896879,-418116.422858
9619.44277234,-760613.10278
-35895.843248,2838462.624
-70307.3623711,5559519.08713
-50462.0882472,3990273.88106
-8704.28546108,688317.38355
-25135.1372102,1987570.55476
-21427.0947915,1694360.80855
-75785.5553065,5992701.7153
-9220.23847776,729115.852391
69176.5130022,-5470028.87414
-21469.9962627,1697753.19948
-76811.0298103,6073790.08622
-33437.9091542,2644103.94346
-77030.2017169,6091120.88556
-76359.9158178,6038118.69838
-62875.0534975,4971816.69526
-92881.167221,7344520.13183
8425.86973009,-666232.508037
81342.8302437,-6432068.24369
-82993.809037,6562687.17079
-65308.0297433,5164201.85892
-22072.9843728,1745433.8813
-33173.9281768,2623229.91165
8812.1283666,-696775.523461
-72826.1533413,5758689.96431
-28573.614631,2259464.71833
59376.835934,-4695129.20965
-80251.3877357,6345832.94881
-9308.03656229,736058.398127
-75073.7566812,5936416.95081
61547.309884,-4866757.26677
13868.4479151,-1096598.93544
19133.4984425,-1512927.54084
-60793.6239563,4807229.73572
58237.2704198,-4605019.20618
59261.8904017,-4686040.00662
-6695.04610218,529438.790483
95335.4805942,-7538523.0775
66131.9207302,-5229280.78482
-53036.0971746,4193811.06298
2566.30831821,-202893.548954
46325.6682306,-3663121.17467
30323.2874538,-2397748.91712
2430.23167391,-192133.424382
21622.9577308,-1709779.04461
37726.2748423,-2983132.74188
44653.1053027,-3530864.93371
74048.7291736,-5855294.49567
29644.9613145,-2344110.95598
38761.4413819,-3064987.50084
86668.8323709,-6853216.53589
43483.4098416,-3438372.43481
92837.2444735,-7340977.55449
-64025.5795301,5062793.39076
-89357.9706828,7065926.88877
75107.1303835,-5938986.51295
7513.71826188,-594105.04284
32176.4044455,-2544282.29013
-49405.1426884,3906696.96795
26176.469242,-2069843.41384
25240.0606798,-1995797.84319
9612.70191836,-760080.076492
58428.672513,-4620154.13529
50930.1412327,-4027215.27284
3837.66012925,-303424.42206
-93174.9048635,7367747.14217
-79517.0534429,6287766.19895
-74389.2132225,5882287.36136
12227.4483006,-966838.531919
80578.6383707,-6371640.53552
-31372.2966321,2480767.69888
38327.622281,-3030683.68925
24166.669327,-1910920.49536
-78408.4034654,6200100.81063
-98101.1551116,7757285.4543
11522.1445658,-911067.344396
-58274.8310178,4608058.7029
22232.4739372,-1757975.92911
84081.3475658,-6648613.76242
69588.7086911,-5502622.83604
95280.0038872,-7534136.31238
32714.7993769,-2586855.33093
59639.5889351,-4715906.14045
77602.4297009,-6136299.81117
-84577.9702115,6687953.13151
-50496.0153776,3992956.63497
3465.31727686,-273981.78335
-86232.4492288,6818779.40532
-25974.6835027,2053956.83829
11549.9249277,-913264.048729
-35478.1326056,2805432.57266
25365.038106,-2005680.30819
-7333.11351696,579893.33324
82154.0491698,-6496214.56906
-91600.7854761,7243275.22573
76203.6294528,-6025691.08035
54780.3891125,-4331669.77368
87695.7464565,-6934418.7403
-39658.6659669,3136004.06767
51320.908311,-4058114.78878
81635.3572379,-6455199.52323
-88343.0752947,6985675.05085
14349.2385322,-1134616.97269
76664.2536616,-6062114.47903
80155.9650605,-6338218.0662
70737.8973448,-5593493.77964
56026.1187084,-4430174.59575
-47036.702001,3719414.88902
91707.8803708,-7251674.21744
-29747.5814553,2352294.97099
5957.02099775,-471010.763376
50857.8251908,-4021496.95414
-59473.9296971,4702876.23187
-34670.5790715,2741576.0845
66419.9848685,-5252059.16849
-58976.8415607,4663569.48457
-58713.4500124,4642742.06128
-91034.7551293,7198516.9421
96908.5393663,-7662911.12685
-85834.0737949,6787278.26626
-9023.62209943,713568.60889
13814.053818,-1092297.77661
86539.166016,-6842963.29855
-21164.001505,1673556.97001
-98147.2347614,7760929.15653
17842.0771986,-1410809.6974
-32381.0297385,2560532.26055
-12254.4377428,969042.125071
19812.1400603,-1566590.44812
51021.1539254,-4034412.0105
88826.7147766,-7023848.92925
-65556.2648821,5183830.80429
-28817.0001472,2278710.18464
36738.0256535,-2904987.92553
-25444.3861551,2012024.10583
9942.17522275,-786132.848564
80567.8509362,-6370787.52993
67894.0797962,-5368621.75081
78359.1075201,-6196133.35304
13150.988067,-1039866.51541
-88755.9610534,7018323.57934
-1286.48626591,101762.32999
-39841.3891326,3150452.71927
17115.3775872,-1353346.65233
